"","x"
"188","morex_contig_2552836.2669_A"
"189","morex_contig_36970.7831_T"
"190","morex_contig_2555752.248_A"
"191","morex_contig_175242.1388_A"
"192","morex_contig_1572012.245_T"
"193","morex_contig_1570544.4097_C"
"194","morex_contig_1564090.3755_C"
"195","morex_contig_8775.3721_T"
"196","morex_contig_1559842.2539_A"
"197","morex_contig_1584998.3565_G"
"198","morex_contig_1561261.3297_G"
"199","morex_contig_39183.9047_A"
"200","morex_contig_1566106.1573_C"
"201","morex_contig_2584358.104_C"
"202","morex_contig_1566952.2415_G"
"203","morex_contig_38374.6536_A"
"204","morex_contig_157361.2641_T"
"205","morex_contig_6149.2753_T"
"206","morex_contig_65201.2685_C"
"207","morex_contig_137996.1585_C"
"208","morex_contig_57958.1769_G"
"209","morex_contig_59063.3371_C"
"210","morex_contig_389668.238_C"
"211","morex_contig_9507.1363_G"
"212","morex_contig_1565961.1859_T"
"213","morex_contig_280665.123_A"
"214","morex_contig_1563813.5386_C"
"215","morex_contig_37411.446_C"
"216","morex_contig_42449.2614_C"
"217","morex_contig_196636.290_G"
"218","morex_contig_2628537.1397_C"
"219","morex_contig_60056.2986_A"
"220","morex_contig_47827.2167_C"
"221","morex_contig_150638.148_G"
"222","morex_contig_88084.6988_T"
"223","morex_contig_75846.3791_T"
"224","morex_contig_60437.9894_C"
"225","morex_contig_158008.426_G"
"226","morex_contig_51074.7807_C"
"227","morex_contig_2550163.484_A"
"228","morex_contig_244176.2948_C"
"229","morex_contig_135794.3257_T"
"230","morex_contig_64151.1648_T"
"231","morex_contig_1569568.1304_A"
"232","morex_contig_77907.3689_T"
"233","morex_contig_1560615.775_G"
"234","morex_contig_296044.440_T"
"235","morex_contig_111408.2744_C"
"236","morex_contig_2148284.280_G"
"237","morex_contig_51606.2106_T"
"238","morex_contig_142139.1444_T"
"239","morex_contig_1559793.4066_T"
"240","morex_contig_1627743.749_C"
"241","morex_contig_39621.3725_G"
"242","morex_contig_1569762.1513_T"
"243","morex_contig_122895.1479_C"
"244","morex_contig_12783.397_A"
"245","morex_contig_130289.2395_C"
"246","morex_contig_133045.1079_C"
"247","morex_contig_1559382.1890_A"
"248","morex_contig_1562617.6215_A"
"249","morex_contig_1564819.3214_T"
"250","morex_contig_1570623.899_T"
"251","morex_contig_1573101.1495_C"
"252","morex_contig_1575191.2336_G"
"253","morex_contig_1626637.1749_C"
"254","morex_contig_217945.1193_T"
"255","morex_contig_247088.1013_A"
"256","morex_contig_2546781.2024_C"
"257","morex_contig_38315.1914_C"
"258","morex_contig_45593.761_G"
"259","morex_contig_46177.2147_C"
"260","morex_contig_61454.5531_A"
"261","morex_contig_6608.1756_A"
"262","morex_contig_67953.1504_T"
"263","morex_contig_69817.1249_G"
"264","morex_contig_245587.3232_C"
"265","morex_contig_37524.1757_C"
"266","morex_contig_1558025.1052_G"
"267","morex_contig_50458.1785_C"
"268","morex_contig_60840.2553_C"
"269","morex_contig_47190.6691_A"
"270","morex_contig_1566981.721_C"
"271","morex_contig_36937.2805_T"
"272","morex_contig_134645.2935_T"
"273","morex_contig_344034.333_A"
"274","morex_contig_274683.1319_G"
"275","morex_contig_42337.1457_G"
"276","morex_contig_2549334.4370_G"
"277","morex_contig_354794.2335_A"
"278","morex_contig_50270.1953_G"
"279","morex_contig_158829.362_A"
"280","morex_contig_11162.670_A"
"281","morex_contig_49178.897_C"
"282","morex_contig_37639.6281_G"
"283","morex_contig_1558644.2073_C"
"284","morex_contig_159655.7948_T"
"285","morex_contig_1561692.4967_A"
"286","morex_contig_1558924.8951_C"
"287","morex_contig_289849.740_T"
"288","morex_contig_2549739.3615_T"
"289","morex_contig_167045.1365_T"
"290","morex_contig_243680.6301_A"
"291","morex_contig_91932.5724_C"
"292","morex_contig_53297.2349_A"
"293","morex_contig_39489.3828_T"
"294","morex_contig_47959.2662_G"
"295","morex_contig_539448.661_A"
"296","morex_contig_276223.3983_A"
"297","morex_contig_158734.2231_T"
"298","morex_contig_2549392.201_T"
"299","morex_contig_275675.641_C"
"300","morex_contig_1572248.1579_C"
"301","morex_contig_43318.2389_C"
"302","morex_contig_85734.1619_G"
"303","morex_contig_2551488.1161_T"
"304","morex_contig_880986.119_T"
"305","morex_contig_205252.695_C"
"306","morex_contig_1607286.1845_C"
"307","morex_contig_1566476.1646_T"
"308","morex_contig_161087.1352_G"
"309","morex_contig_288940.1099_A"
"310","morex_contig_1636377.880_G"
"311","morex_contig_44055.1722_T"
"312","morex_contig_157382.350_A"
"313","morex_contig_1569856.6752_A"
"314","morex_contig_2560842.133_C"
"315","morex_contig_135146.4370_T"
"316","morex_contig_365685.248_G"
"317","morex_contig_42048.3333_T"
"318","morex_contig_47990.4197_T"
"319","morex_contig_93837.2477_A"
"320","morex_contig_226480.1267_A"
"321","morex_contig_96269.4552_C"
"322","morex_contig_52394.4857_G"
"323","morex_contig_277967.765_A"
"324","morex_contig_49088.5032_T"
"325","morex_contig_38654.1003_G"
"326","morex_contig_42780.5913_C"
"327","morex_contig_274542.1968_C"
"328","morex_contig_135918.4736_C"
"329","morex_contig_138811.472_A"
"330","morex_contig_1562057.2683_C"
"331","morex_contig_165829.1452_G"
"332","morex_contig_59069.857_T"
"333","morex_contig_43222.4125_T"
"334","morex_contig_2548421.6480_T"
"335","morex_contig_1584297.1412_C"
"336","morex_contig_244129.11148_C"
"337","morex_contig_53509.1531_C"
"338","morex_contig_1562888.5603_C"
"339","morex_contig_42075.5587_C"
"340","morex_contig_47500.1979_G"
"341","morex_contig_79121.2187_G"
"342","morex_contig_44552.2179_C"
"343","morex_contig_37206.1917_G"
"344","morex_contig_1627930.629_T"
"345","morex_contig_1712260.1830_T"
"346","morex_contig_48162.8497_T"
"347","morex_contig_135919.9204_A"
"348","morex_contig_51242.1509_T"
"349","morex_contig_156967.1414_C"
"350","morex_contig_1573376.616_G"
"351","morex_contig_274643.2759_A"
"352","morex_contig_39989.5015_A"
"353","morex_contig_242554.496_A"
"354","morex_contig_67777.3182_A"
"355","morex_contig_1559726.3888_C"
"356","morex_contig_1562852.4310_C"
"357","morex_contig_37167.3943_G"
"358","morex_contig_42106.3721_T"
"359","morex_contig_66179.473_T"
"360","morex_contig_49543.729_C"
"361","morex_contig_48404.4258_C"
"362","morex_contig_85889.409_G"
"363","morex_contig_2550881.826_T"
"364","morex_contig_39643.3503_G"
"365","morex_contig_65209.4667_C"
"366","morex_contig_61013.5095_A"
"367","morex_contig_1564637.8539_G"
"368","morex_contig_45035.1432_G"
"369","morex_contig_139249.3402_T"
"370","morex_contig_2547731.574_G"
"371","morex_contig_278669.1060_G"
"372","morex_contig_36966.5351_C"
"373","morex_contig_18253.481_C"
"374","morex_contig_1560857.3451_G"
"375","morex_contig_37030.4458_G"
"376","morex_contig_51021.6005_T"
"377","morex_contig_138302.3959_G"
"378","morex_contig_139326.5426_A"
"379","morex_contig_1594138.542_G"
"380","morex_contig_45024.1235_A"
"381","morex_contig_1559810.1896_A"
"382","morex_contig_6718.5998_A"
"383","morex_contig_2547833.3128_A"
"384","morex_contig_1569187.6170_C"
"385","morex_contig_44995.235_C"
"386","morex_contig_42737.5246_A"
"387","morex_contig_2554082.1508_C"
"388","morex_contig_48509.6776_C"
"389","morex_contig_47816.655_G"
"390","morex_contig_44082.3134_C"
"391","morex_contig_49926.5175_T"
"392","morex_contig_273528.1201_T"
"393","morex_contig_1583848.231_A"
"394","morex_contig_135384.658_G"
"395","morex_contig_1562199.7284_T"
"396","morex_contig_136794.2654_T"
"397","morex_contig_63012.2581_T"
"398","morex_contig_48473.13518_G"
"399","morex_contig_5718.2259_T"
"400","morex_contig_2555624.335_C"
"401","morex_contig_545736.1483_G"
"402","morex_contig_177909.457_C"
"403","morex_contig_2552217.5203_C"
"404","morex_contig_36899.1485_C"
"405","morex_contig_45496.144_G"
"406","morex_contig_46194.2392_T"
"407","morex_contig_1988910.186_C"
"408","morex_contig_2608698.97_G"
"409","morex_contig_79514.4082_G"
"410","morex_contig_45351.5744_T"
"411","morex_contig_6148.4223_G"
"412","morex_contig_1571345.855_C"
"413","morex_contig_52689.3202_C"
"414","morex_contig_54908.2789_C"
"415","morex_contig_100808.2789_A"
"416","morex_contig_1567542.3411_C"
"417","morex_contig_159706.1066_A"
"418","morex_contig_1560287.3373_G"
"419","morex_contig_370158.819_T"
"420","morex_contig_53555.4245_A"
"421","morex_contig_1565252.4598_G"
"422","morex_contig_51176.4187_T"
"423","morex_contig_102347.5274_T"
"424","morex_contig_1568638.2011_C"
"425","morex_contig_88787.966_A"
"426","morex_contig_1560590.2129_T"
"427","morex_contig_43919.2929_A"
"428","morex_contig_80654.2407_C"
"429","morex_contig_1560019.2533_T"
"430","morex_contig_45880.4509_T"
"431","morex_contig_45265.7388_T"
"432","morex_contig_140159.6056_A"
"433","morex_contig_139654.2256_T"
"434","morex_contig_36953.3730_A"
"435","morex_contig_44406.3660_T"
"436","morex_contig_1582278.344_A"
"437","morex_contig_40201.2229_A"
"438","morex_contig_67374.2032_A"
"439","morex_contig_23679.526_G"
"440","morex_contig_64108.6695_C"
"441","morex_contig_2552874.805_A"
"442","morex_contig_43495.3215_A"
"443","morex_contig_16772.126_G"
"444","morex_contig_90542.3172_A"
"445","morex_contig_244364.1494_C"
"446","morex_contig_204366.723_A"
"447","morex_contig_141768.1245_A"
"448","morex_contig_7234.98_A"
"449","morex_contig_141679.640_T"
"450","morex_contig_2553599.578_T"
"451","morex_contig_37192.2995_C"
"452","morex_contig_46228.11899_T"
"453","morex_contig_56953.3300_T"
"454","morex_contig_44990.14348_C"
"455","morex_contig_45126.11099_G"
"456","morex_contig_243628.2715_T"
"457","morex_contig_37498.1555_T"
"458","morex_contig_1568243.5173_A"
"459","morex_contig_137290.1953_G"
"460","morex_contig_46016.5732_A"
"461","morex_contig_1586746.774_A"
"462","morex_contig_1583820.539_T"
"463","morex_contig_2547289.1801_A"
"464","morex_contig_1565785.1728_A"
"465","morex_contig_78719.2124_A"
"466","morex_contig_95936.264_C"
"467","morex_contig_39298.2696_T"
"468","morex_contig_39170.1925_T"
"469","morex_contig_9430.1424_A"
"470","morex_contig_106933.1139_G"
"471","morex_contig_42765.1560_G"
"472","morex_contig_1562741.841_C"
"473","morex_contig_245281.3328_A"
"474","morex_contig_8046.1691_T"
"475","morex_contig_64849.3581_G"
"476","morex_contig_274766.1030_A"
"477","morex_contig_39222.7772_T"
"478","morex_contig_59404.2874_C"
"479","morex_contig_142164.1722_A"
"480","morex_contig_274891.4673_A"
"481","morex_contig_45407.7533_C"
"482","morex_contig_1568614.1590_C"
"483","morex_contig_136535.2784_C"
"484","morex_contig_137169.4039_G"
"485","morex_contig_51157.1403_C"
"486","morex_contig_48590.5987_C"
"487","morex_contig_1575265.1545_A"
"488","morex_contig_39622.9274_A"
"489","morex_contig_368646.4380_A"
"490","morex_contig_442068.6607_C"
"491","morex_contig_93935.2997_C"
"492","morex_contig_54271.1511_C"
"493","morex_contig_141770.2705_C"
"494","morex_contig_2548102.3021_G"
"495","morex_contig_135013.3092_A"
"496","morex_contig_73808.2629_T"
"497","morex_contig_51279.9969_T"
"498","morex_contig_8475.2601_T"
"499","morex_contig_1579479.819_A"
"500","morex_contig_40142.4597_A"
"501","morex_contig_214943.673_G"
"502","morex_contig_530320.226_T"
"503","morex_contig_1563042.1391_C"
"504","morex_contig_47262.7226_G"
"505","morex_contig_44170.10966_T"
"506","morex_contig_44129.2236_G"
"507","morex_contig_162517.3073_G"
"508","morex_contig_2549144.2203_A"
"509","morex_contig_1558374.2288_T"
"510","morex_contig_1587908.895_G"
"511","morex_contig_157350.1025_T"
"512","morex_contig_50359.7748_A"
"513","morex_contig_140591.1681_T"
"514","morex_contig_6898.2573_G"
"515","morex_contig_49343.4133_C"
"516","morex_contig_53302.5277_C"
"517","morex_contig_137097.315_G"
"518","morex_contig_1570998.855_A"
"519","morex_contig_41141.5038_A"
"520","morex_contig_135977.6028_C"
"521","morex_contig_160183.2826_A"
"522","morex_contig_42413.1994_G"
"523","morex_contig_49091.1796_T"
"524","morex_contig_135802.3891_T"
"525","morex_contig_159615.900_A"
"526","morex_contig_1645732.249_A"
"527","morex_contig_69906.4182_G"
"528","morex_contig_137106.3148_A"
"529","morex_contig_57466.1291_A"
"530","morex_contig_44174.13332_G"
"531","morex_contig_53577.6119_G"
"532","morex_contig_2547790.2874_A"
"533","morex_contig_15887.205_A"
"534","morex_contig_138579.2580_T"
"535","morex_contig_46295.1036_A"
"536","morex_contig_233941.845_T"
"537","morex_contig_42836.887_C"
"538","morex_contig_259656.930_C"
"539","morex_contig_277626.4080_T"
"540","morex_contig_134725.921_G"
"541","morex_contig_280909.136_C"
"542","morex_contig_961515.476_A"
"543","morex_contig_40528.4040_A"
"544","morex_contig_2552499.1247_T"
"545","morex_contig_161882.1200_C"
"546","morex_contig_1582352.4863_G"
"547","morex_contig_136617.3593_C"
"548","morex_contig_1561286.1287_C"
"549","morex_contig_1562437.8988_T"
"550","morex_contig_159565.1652_C"
"551","morex_contig_6089.6755_C"
"552","morex_contig_53063.5548_C"
"553","morex_contig_1565936.2514_C"
"554","morex_contig_134787.2088_G"
"555","morex_contig_89042.2673_A"
"556","morex_contig_1593581.3031_A"
"557","morex_contig_159874.4596_C"
"558","morex_contig_1583759.919_G"
"559","morex_contig_157481.213_G"
"560","morex_contig_46894.4809_C"
"561","morex_contig_136993.6351_G"
"562","morex_contig_208347.541_C"
"563","morex_contig_43235.4491_A"
"564","morex_contig_96286.1800_C"
"565","morex_contig_38567.1101_A"
"566","morex_contig_40536.14170_C"
"567","morex_contig_1570895.3491_G"
"568","morex_contig_40985.8313_C"
"569","morex_contig_47039.7374_C"
"570","morex_contig_40487.5989_C"
"571","morex_contig_55803.4605_G"
"572","morex_contig_1562103.13733_C"
"573","morex_contig_41553.2438_A"
"574","morex_contig_43531.1186_G"
"575","morex_contig_139900.157_C"
"576","morex_contig_2552765.5208_G"
"577","morex_contig_136025.5271_G"
"578","morex_contig_1569047.2966_T"
"579","morex_contig_2550029.1249_T"
"580","morex_contig_239920.3034_G"
"581","morex_contig_1569178.1901_T"
"582","morex_contig_58696.2941_T"
"583","morex_contig_37749.2228_A"
"584","morex_contig_46432.3195_C"
"585","morex_contig_135665.5172_C"
"586","morex_contig_138773.6608_A"
"587","morex_contig_142987.1362_C"
"588","morex_contig_1566960.474_G"
"589","morex_contig_43263.7964_A"
"590","morex_contig_133519.2707_T"
"591","morex_contig_7433.318_T"
"592","morex_contig_143096.234_C"
"593","morex_contig_1584287.1288_G"
"594","morex_contig_1596444.2509_G"
"595","morex_contig_244354.805_A"
"596","morex_contig_2550208.2096_A"
"597","morex_contig_322644.1074_T"
"598","morex_contig_38586.4860_C"
"599","morex_contig_463227.1156_G"
"600","morex_contig_56903.5190_G"
"601","morex_contig_87508.3870_C"
"602","morex_contig_1578205.1346_C"
"603","morex_contig_159171.1523_C"
"604","morex_contig_54537.1073_C"
"605","morex_contig_58515.3352_A"
"606","morex_contig_58034.2483_G"
"607","morex_contig_1568426.4064_T"
"608","morex_contig_1572363.72_G"
"609","morex_contig_42233.8817_G"
"610","morex_contig_275815.274_G"
"611","morex_contig_54397.6673_C"
"612","morex_contig_2550369.255_G"
"613","morex_contig_39959.7190_G"
"614","morex_contig_442254.1974_C"
"615","morex_contig_74500.2854_A"
"616","morex_contig_134471.893_C"
"617","morex_contig_303042.1903_A"
"618","morex_contig_40728.3286_G"
"619","morex_contig_42087.2656_G"
"620","morex_contig_49785.10612_C"
"621","morex_contig_141623.3237_C"
"622","morex_contig_89069.1502_A"
"623","morex_contig_50401.5608_G"
"624","morex_contig_43187.3130_G"
"625","morex_contig_1565686.3337_A"
"626","morex_contig_1569064.620_A"
"627","morex_contig_292012.541_C"
"628","morex_contig_45372.14771_C"
"629","morex_contig_60939.2167_T"
"630","morex_contig_63173.6580_G"
"631","morex_contig_5910.1631_C"
"632","morex_contig_1564907.8291_A"
"633","morex_contig_1565843.1768_T"
"634","morex_contig_1566347.2821_T"
"635","morex_contig_1589183.1183_A"
"636","morex_contig_57665.1360_T"
"637","morex_contig_1601700.2538_T"
"638","morex_contig_1571275.3912_C"
"639","morex_contig_275303.2566_G"
"640","morex_contig_270722.3787_A"
"641","morex_contig_64085.879_A"
"642","morex_contig_42363.5922_C"
"643","morex_contig_6658.3008_G"
"644","morex_contig_40160.2861_A"
"645","morex_contig_37722.4716_A"
"646","morex_contig_276698.60_G"
"647","morex_contig_135493.1383_C"
"648","morex_contig_1617661.263_G"
"649","morex_contig_66478.5466_A"
"650","morex_contig_133785.1397_G"
"651","morex_contig_1628420.235_A"
"652","morex_contig_59684.404_A"
"653","morex_contig_47829.6920_T"
"654","morex_contig_1558702.845_T"
"655","morex_contig_98129.6386_G"
"656","morex_contig_8709.202_A"
"657","morex_contig_244157.2148_T"
"658","morex_contig_1563094.4699_A"
"659","morex_contig_137710.2704_T"
"660","morex_contig_49914.6951_C"
"661","morex_contig_54060.1721_G"
"662","morex_contig_1561105.925_G"
"663","morex_contig_38242.4155_T"
"664","morex_contig_40758.7066_A"
"665","morex_contig_274281.5510_A"
"666","morex_contig_39471.3827_T"
"667","morex_contig_1834264.943_A"
"668","morex_contig_1562873.6034_T"
"669","morex_contig_39582.9783_C"
"670","morex_contig_1573653.3722_G"
"671","morex_contig_2546642.2933_A"
"672","morex_contig_51239.1191_T"
"673","morex_contig_369876.904_C"
"674","morex_contig_1582885.774_G"
"675","morex_contig_161307.1632_C"
"676","morex_contig_66512.2927_G"
"677","morex_contig_1558627.938_T"
"678","morex_contig_1573416.2142_C"
"679","morex_contig_49581.5709_C"
"680","morex_contig_72000.4201_G"
"681","morex_contig_1583081.4759_T"
"682","morex_contig_1585816.875_C"
"683","morex_contig_137866.5778_G"
"684","morex_contig_92502.3473_G"
"685","morex_contig_135445.2090_C"
"686","morex_contig_73566.10596_A"
"687","morex_contig_135532.7902_C"
"688","morex_contig_138502.1768_A"
"689","morex_contig_58787.3462_G"
"690","morex_contig_6999.8182_C"
"691","morex_contig_40236.4262_A"
"692","morex_contig_140493.517_C"
"693","morex_contig_139592.1211_C"
"694","morex_contig_1632548.1297_C"
"695","morex_contig_1638508.236_C"
"696","morex_contig_1846566.182_G"
"697","morex_contig_234161.211_C"
"698","morex_contig_280449.2180_G"
"699","morex_contig_47370.6504_C"
"700","morex_contig_93331.369_C"
"701","morex_contig_6613.6610_C"
"702","morex_contig_1570578.3858_G"
"703","morex_contig_135848.5821_T"
"704","morex_contig_242402.1081_T"
"705","morex_contig_362296.809_A"
"706","morex_contig_89566.1910_T"
"707","morex_contig_189906.2723_G"
"708","morex_contig_288221.60_C"
"709","morex_contig_1581159.2670_C"
"710","morex_contig_1570968.1273_G"
"711","morex_contig_55244.3690_T"
"712","morex_contig_51262.4542_G"
"713","morex_contig_54063.2606_T"
"714","morex_contig_47468.4484_C"
"715","morex_contig_343965.215_A"
"716","morex_contig_57756.3889_A"
"717","morex_contig_92503.2746_T"
"718","morex_contig_40400.3446_A"
"719","morex_contig_42129.3367_T"
"720","morex_contig_1560733.4862_A"
"721","morex_contig_1572379.657_A"
"722","morex_contig_137471.1850_G"
"723","morex_contig_95794.5840_A"
"724","morex_contig_1563915.1460_T"
"725","morex_contig_137361.6619_G"
"726","morex_contig_407303.3044_G"
"727","morex_contig_47232.5747_T"
"728","morex_contig_49320.3669_G"
"729","morex_contig_245737.538_C"
"730","morex_contig_45230.4201_C"
"731","morex_contig_5816.2505_A"
"732","morex_contig_44067.1609_A"
"733","morex_contig_2549977.454_T"
"734","morex_contig_369524.1859_G"
"735","morex_contig_134657.852_C"
"736","morex_contig_146078.1662_G"
"737","morex_contig_2548383.450_A"
"738","morex_contig_38556.2590_A"
"739","morex_contig_47269.1308_G"
"740","morex_contig_56621.1997_C"
"741","morex_contig_37322.1296_C"
"742","morex_contig_2437967.149_C"
"743","morex_contig_1567565.1025_A"
"744","morex_contig_1576830.680_T"
"745","morex_contig_1564126.638_G"
"746","morex_contig_2546861.443_C"
"747","morex_contig_1557939.1278_G"
"748","morex_contig_61969.637_A"
"749","morex_contig_42225.3032_A"
"750","morex_contig_164084.3904_C"
"751","morex_contig_42155.2083_C"
"752","morex_contig_43357.6563_T"
"753","morex_contig_1564126.2565_C"
"754","morex_contig_7795.7189_C"
"755","morex_contig_44376.10237_G"
"756","morex_contig_44677.9604_C"
"757","morex_contig_93094.4720_C"
"758","morex_contig_5812.2817_G"
"759","morex_contig_68140.1779_A"
"760","morex_contig_175729.1080_C"
"761","morex_contig_45389.5676_C"
"762","morex_contig_63565.2859_C"
"763","morex_contig_55977.1730_T"
"764","morex_contig_275621.396_C"
"765","morex_contig_95251.4600_A"
"766","morex_contig_45895.3833_C"
"767","morex_contig_8692.1456_A"
"768","morex_contig_46770.2690_T"
"769","morex_contig_6451.5684_A"
"770","morex_contig_1592482.443_T"
"771","morex_contig_1562421.2354_A"
"772","morex_contig_137875.3431_C"
"773","morex_contig_9910.361_C"
"774","morex_contig_44892.7392_T"
"775","morex_contig_135873.3339_C"
